Skrót ,Pełna Nazwa,Kraj ,Typ 
XFRS,"XFRS
50, BOULEVARD DE L EUROPE
COMBS-LA-VILLE, ILE DE FRANCE
77380",INTERNATIONAL ,INTERNATIONAL 
XNLA,"XNLA
VOLLENHOVERMEER 39
OSS, NETHERLANDS
5347",INTERNATIONAL ,INTERNATIONAL 
XPLA  - PL,"XPLA 
LOGISTICS POLAND
KRAJKÓW ,UL. LOGISTYCZNA 4
PL 55-020",NATIONAL,NATIONAL
XPLB,"XPLB
KRZYSZTOFA KOLUMBA 25
KOMORNIKI, WIELKOPOLSKIE
62-052",NATIONAL,NATIONAL
XPLC - PL,"XPLC
LOGISTICS POLAND
ZGORZELEC,UL. SLOWIANSKA
PL 59-900",NATIONAL,NATIONAL
XPLD - PL,"XPLD
LOGISTICS POLAND
MIEDZYRZECZ NOWA NIEDRZWICA 58
PL 66-340",NATIONAL,NATIONAL
XPLE -  PL,"XPLE
LOGISTICS POLAND
KRZYŻOWICE ENERGETYCZNA 12
PL 55-040",NATIONAL,NATIONAL
XPO1 -  PL,"XPO1
ID LOGISTICS POLAND
NOWA NIEDRZWICA 58
PRZYTOCZNA, LUBUSKIE",NATIONAL,NATIONAL
XPO2,"XPO2 
BOISKOWA 12
LEGNICA
59-220",NATIONAL,NATIONAL
XUKM,"XUKM
EV CARGO, UNIT 15 COALFIELD WAY
ASHBY DE LA ZOUCH
LE65 1JR",INTERNATIONAL ,INTERNATIONAL 
XWR3 - PL,"XWR3
ENERGETYCZNA 12
KRZYZOWICE, WROCLAW
55-040",NATIONAL,NATIONAL
XWR4,"XWR4
ID LOGISTICS
UL. LOGISTYCZNA 4
KRAJKÓW, WOJEWODZTWO DOLNOSLASKIE
55-020",NATIONAL,NATIONAL
YWRO-PL,"YWRO
GROMADKA
ROZYNIEC 85 ,LSSE KRZYWA
PL 59-706",NATIONAL,NATIONAL
ZLJ - PL,"ZLJ 
SOSNOWA 15A
ZLOTORYJA, ZLOTORYJA VOIVODESHIP
59-500",NATIONAL,NATIONAL

